Date,Close,Volume
1996-01-01,204.10000610351562,4700
1996-01-02,200.6999969482422,10300
1996-01-03,201.10000610351562,5900
1996-01-04,199.0,7750
1996-01-05,196.8000030517578,6800
1996-01-08,194.0,14150
1996-01-09,192.3000030517578,14500
1996-01-10,191.85000610351562,5650
1996-01-11,193.5,9700
1996-01-12,192.0,14900
1996-01-15,190.64999389648438,10800
1996-01-16,190.25,20400
1996-01-17,185.0,13250
1996-01-18,181.10000610351562,39300
1996-01-19,178.4499969482422,15050
1996-01-22,177.0500030517578,11250
1996-01-23,174.9499969482422,13900
1996-01-24,171.3000030517578,5900
1996-01-25,170.5500030517578,7350
1996-01-26,170.5500030517578,0
1996-01-29,171.10000610351562,9300
1996-01-30,174.5,8350
1996-01-31,176.60000610351562,3100
1996-02-01,179.5,8100
1996-02-02,189.0,12400
1996-02-05,191.0,14500
1996-02-06,191.35000610351562,24400
1996-02-07,191.3000030517578,15300
1996-02-08,195.64999389648438,16900
1996-02-09,210.6999969482422,48600
1996-02-12,218.9499969482422,50000
1996-02-13,216.39999389648438,30750
1996-02-14,227.89999389648438,29650
1996-02-15,230.0500030517578,33650
1996-02-16,227.10000610351562,24550
1996-02-19,222.39999389648438,11450
1996-02-20,218.1999969482422,37850
1996-02-21,218.1999969482422,0
1996-02-22,221.4499969482422,17050
1996-02-23,223.4499969482422,18550
1996-02-26,226.35000610351562,37450
1996-02-27,226.5,12800
1996-02-28,226.64999389648438,6650
1996-02-29,212.4499969482422,5200
1996-03-01,215.0500030517578,7850
1996-03-04,215.3000030517578,20500
1996-03-05,215.3000030517578,0
1996-03-06,219.39999389648438,9450
1996-03-07,218.64999389648438,5850
1996-03-08,215.85000610351562,8700
1996-03-11,214.39999389648438,15450
1996-03-12,212.1999969482422,16500
1996-03-13,220.8000030517578,13700
1996-03-14,218.0,10800
1996-03-15,214.5500030517578,5900
1996-03-18,210.3000030517578,26500
1996-03-19,209.5500030517578,15250
1996-03-20,209.5500030517578,0
1996-03-21,210.0500030517578,3800
1996-03-22,209.75,3450
1996-03-25,208.35000610351562,2750
1996-03-26,204.10000610351562,8850
1996-03-27,208.14999389648438,5850
1996-03-28,212.0,7400
1996-03-29,210.0500030517578,5850
1996-04-01,211.85000610351562,5050
1996-04-02,215.4499969482422,12650
1996-04-03,217.60000610351562,7400
1996-04-04,220.0,12000
1996-04-05,220.0,0
1996-04-08,225.5,17300
1996-04-09,225.89999389648438,50650
1996-04-10,227.0,13100
1996-04-11,227.14999389648438,14300
1996-04-12,229.64999389648438,13800
1996-04-15,233.1999969482422,61250
1996-04-16,236.0500030517578,53450
1996-04-17,241.5,24850
1996-04-18,245.35000610351562,52900
1996-04-19,252.3000030517578,75050
1996-04-22,248.89999389648438,38200
1996-04-23,246.35000610351562,29300
1996-04-24,257.45001220703125,40600
1996-04-25,248.10000610351562,50500
1996-04-26,255.35000610351562,61000
1996-04-29,256.0,28450
1996-04-30,255.39999389648438,33950
1996-05-01,259.1000061035156,14750
1996-05-02,255.9499969482422,22050
1996-05-03,254.75,13100
1996-05-06,250.1999969482422,29850
1996-05-07,251.35000610351562,33850
1996-05-08,253.75,29000
1996-05-09,253.85000610351562,83450
1996-05-10,244.5,22900
1996-05-13,247.1999969482422,12300
1996-05-14,252.35000610351562,23350
1996-05-15,255.6999969482422,43150
1996-05-16,259.6000061035156,34450
1996-05-17,259.75,24250
1996-05-20,251.3000030517578,18550
1996-05-21,248.14999389648438,38350
1996-05-22,246.10000610351562,10150
1996-05-23,247.4499969482422,10650
1996-05-24,246.39999389648438,10550
1996-05-27,243.0500030517578,23100
1996-05-28,246.4499969482422,64500
1996-05-29,252.60000610351562,27600
1996-05-30,250.9499969482422,11500
1996-05-31,251.0500030517578,8550
1996-06-03,255.3000030517578,35650
1996-06-04,256.25,36250
1996-06-05,257.25,322050
1996-06-06,264.8500061035156,191200
1996-06-07,268.25,82250
1996-06-10,272.79998779296875,78100
1996-06-11,272.3500061035156,49450
1996-06-12,282.45001220703125,244650
1996-06-13,292.6499938964844,438150
1996-06-14,297.3500061035156,328050
1996-06-17,295.1000061035156,388450
1996-06-18,293.20001220703125,283700
1996-06-19,283.6499938964844,222300
1996-06-20,285.20001220703125,282450
1996-06-21,280.5,140000
1996-06-24,276.70001220703125,152700
1996-06-25,259.1499938964844,514250
1996-06-26,262.3500061035156,144650
1996-06-27,264.8500061035156,129350
1996-06-28,260.20001220703125,119900
1996-07-01,254.8000030517578,77950
1996-07-02,249.25,170750
1996-07-03,244.5500030517578,62300
1996-07-04,247.60000610351562,85100
1996-07-05,245.39999389648438,46000
1996-07-08,247.14999389648438,13850
1996-07-09,245.89999389648438,59550
1996-07-10,250.4499969482422,45950
1996-07-11,254.3000030517578,38000
1996-07-12,251.9499969482422,31250
1996-07-15,253.1999969482422,32350
1996-07-16,252.0,42500
1996-07-17,258.20001220703125,24650
1996-07-18,260.0,23050
1996-07-19,257.95001220703125,14250
1996-07-22,255.1999969482422,3850
1996-07-23,238.6999969482422,39350
1996-07-24,239.39999389648438,31100
1996-07-25,237.3000030517578,15250
1996-07-26,235.60000610351562,7950
1996-07-29,231.4499969482422,12700
1996-07-30,227.64999389648438,20250
1996-07-31,231.4499969482422,45800
1996-08-01,231.5500030517578,22250
1996-08-02,230.6999969482422,10150
1996-08-05,227.14999389648438,9450
1996-08-06,226.25,24100
1996-08-07,230.75,11200
1996-08-08,229.3000030517578,11550
1996-08-09,227.14999389648438,4650
1996-08-12,221.14999389648438,31550
1996-08-13,219.85000610351562,34400
1996-08-14,219.25,12800
1996-08-15,219.25,0
1996-08-16,207.25,31550
1996-08-19,199.89999389648438,22650
1996-08-20,195.5,115150
1996-08-21,201.25,79650
1996-08-22,206.75,113250
1996-08-23,209.1999969482422,43000
1996-08-26,208.0,34000
1996-08-27,208.0,38750
1996-08-28,213.35000610351562,103150
1996-08-29,211.9499969482422,26100
1996-08-30,211.0500030517578,14800
1996-09-02,212.0,19650
1996-09-03,212.60000610351562,85250
1996-09-04,212.25,18000
1996-09-05,213.10000610351562,12350
1996-09-06,211.60000610351562,8350
1996-09-09,208.25,15300
1996-09-10,205.1999969482422,26100
1996-09-11,204.25,93250
1996-09-12,204.4499969482422,11150
1996-09-13,204.0500030517578,3350
1996-09-16,203.35000610351562,13200
1996-09-17,203.14999389648438,11950
1996-09-18,206.0,17400
1996-09-19,204.6999969482422,14850
1996-09-20,205.89999389648438,14000
1996-09-23,204.5500030517578,15650
1996-09-24,203.6999969482422,48500
1996-09-25,204.75,5800
1996-09-26,203.35000610351562,6650
1996-09-27,202.5,38000
1996-09-30,202.89999389648438,16250
1996-10-01,202.89999389648438,30350
1996-10-02,202.89999389648438,0
1996-10-03,203.0,10300
1996-10-04,201.0500030517578,41350
1996-10-07,200.10000610351562,43500
1996-10-08,199.0500030517578,37400
1996-10-09,202.6999969482422,16600
1996-10-10,206.6999969482422,16250
1996-10-11,207.8000030517578,19600
1996-10-14,205.35000610351562,12500
1996-10-15,204.5,19250
1996-10-16,206.1999969482422,7200
1996-10-17,206.25,10100
1996-10-18,207.0500030517578,4600
1996-10-21,207.0500030517578,0
1996-10-22,209.1999969482422,19650
1996-10-23,216.64999389648438,23500
1996-10-24,209.60000610351562,19700
1996-10-25,208.89999389648438,6500
1996-10-28,208.3000030517578,9650
1996-10-29,204.85000610351562,32850
1996-10-30,204.85000610351562,0
1996-10-31,205.25,27150
1996-11-01,204.75,15800
1996-11-04,203.3000030517578,21200
1996-11-05,202.8000030517578,29100
1996-11-06,200.39999389648438,11150
1996-11-07,202.1999969482422,5100
1996-11-08,202.85000610351562,5600
